id	text	label
898	Ja ma da, wa da zidr daarop zetten, dat interesseert me nie. Ik zegge de waarheid eh.	1
899	Want wij gaan naar een totaal andere wereld eh man.	2
9	Die gaat dat heel goed doen. Daar heb ik het volste vertrouwen in.	3
90	Tis heel moeilijk om zo’n beslissing te maken omda je… Ja we weten alle twee waarom da we gematcht zijn.	5
900	Kweet het. Ma nu tis ne goeie les.	5
901	Nie genoeg. Nie genoeg. Kheb al paar keer gevraagd, ik moet meer begeleiding hebben. Ik moet meer… Mensen moeten er meer mee under armen onder zetten.	1
902	Nu zij kik bezig me mijn strafeinde voor te bereiden.	3
903	Ma kheb al naar appartementen gekeken eh.	0
904	Een goudmijn, da is voor iedereen zo wa surrealistisch bijna zo. Goud komt van ergens ma hoe een goudmijn eruitziet? Ik heb daar nog nooit iets van gezien dus ik ben heel benieuwd om daar eiglik euh, ne keer in gedropt te worden.	3
905	Mannekes, ik zin zo vuil als iets. Ik had er nog nooit over nagedacht dat er een verschil tussen man en vrouw was qua geld, allee, het geld da ze krijgen. Ja ge zou, ge verwacht zoiets niet eh. Allee tis al nie veel, dus dan zou je denken van oke hier verdienen ze evenveel. Allee, ze komen hier voorbij, allee zie nu naar die mensen. Zo’n goeie mensen en die worden zo behandeld. Ineens uit het niks, paf. Vrouwen worden minder betaald.	1
906	Kben wel heel benieuwd.	3
907	Zeker, zeker. Dan ruïneert hij mijn leven gewoon en dan gaat het sowieso niet de goeie kant op. Hier is het rechtssysteem, vergeleken met Nederland, zit hier echt heel scheef in elkaar.	1
908	Ja ma da komt toch helemaal nie uit van de bazen die daar actief aan werken. Da komt uit van het volk. En tis tvolk da ier zo onderdanig is.	1
