id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
aal00 11 01	neutral	neutral	The company ' s prior guidance for TRASM was 3 % - - 5 % , while that for pre-tax margin was 11 % - - 13 % .	pre-tax margin	pre-tax margin	(19, 20)	(19, 20)	[]	train
aal00 12 00	positive	positive	The company recently reported first-quarter 2017 results , beating the Zacks Consensus Estimate for both earnings and revenues .	results	The company recently reported first-quarter 2017 results	(6, 6)	(0, 6)	[(0, 1)]	train
aal00 12 01	positive	positive	The company recently reported first-quarter 2017 results , beating the Zacks Consensus Estimate for both earnings and revenues .	beating the Zacks Consensus Estimate for both earnings and revenues	The company recently reported first-quarter 2017 results , beating the Zacks Consensus Estimate for both earnings and revenues	(8, 17)	(0, 17)	[(0, 1)]	train
aal00 13 00	neutral	neutral	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents .	earnings	adjusted earnings	(5, 5)	(4, 5)	[(4, 5)]	train
aal00 13 01	neutral	neutral	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents .	Zacks Consensus Estimate	Zacks Consensus Estimate	(13, 15)	(13, 15)	[]	train
aal00 13 02	positive	positive	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents .	beat the Zacks Consensus Estimate by 4 cents	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents	(11, 18)	(0, 18)	[(0, 5), (0, 1)]	train
aal00 14 00	neutral	neutral	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate of $ 9,621.3 million .	Zacks Consensus Estimate	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate	(8, 10)	(0, 10)	[(0, 4)]	train
aal00 14 01	positive	positive	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate of $ 9,621.3 million .	edged past the Zacks Consensus Estimate	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate	(5, 10)	(0, 10)	[(0, 4)]	train
aal00 15 00	neutral	neutral	Airline heavyweights like Southwest Airlines LUV and Alaska Air Group ALK have also reported their financial numbers over the past few weeks .	reported	Airline heavyweights like Southwest Airlines LUV and Alaska Air Group ALK have also reported	(13, 13)	(0, 13)	[(0, 10)]	train
aal00 17 00	neutral	neutral	Zacks Rank & Key Pick American Airlines currently carries a Zacks Rank # 3 Hold .	Zacks Rank # 3 Hold	Zacks Rank # 3 Hold	(10, 14)	(10, 14)	[]	train
aal00 18 00	positive	positive	A better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY , which carries a Zacks Rank # 2 Buy .	Zacks Rank # 2 Buy	Deutsche Lufthansa AG DLAKY , which carries a Zacks Rank # 2 Buy	(16, 20)	(8, 20)	[(8, 11)]	train
aal00 18 01	positive	positive	A better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY , which carries a Zacks Rank # 2 Buy .	better-ranked stock in the airline space	better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY	(1, 6)	(1, 11)	[(8, 11)]	train
aal00 19 00	positive	positive	Shares of Deutsche Lufthansa have rallied 39.84 % on a year-to-date basis .	Shares of Deutsche Lufthansa have rallied	Shares of Deutsche Lufthansa have rallied	(0, 5)	(0, 5)	[(0, 3)]	train
aal01 00 00	positive	positive	$ 900M investment at PHL to bring new traffic control tower , remodeled terminals	investment	investment at PHL	(2, 2)	(2, 4)	[(3, 4)]	train
aal01 00 01	positive	positive	$ 900M investment at PHL to bring new traffic control tower , remodeled terminals	new	PHL to bring new traffic control tower , remodeled terminals	(7, 7)	(4, 13)	[(4, 4), (7, 13)]	train
aal01 01 00	positive	positive	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	investment	investment at Philadelphia International Airport led by American Airlines	(5, 5)	(5, 13)	[(7, 9), (12, 13)]	train
aal01 01 01	neutral	neutral	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	funds	funds to maintenance and repairs of the airfield and terminals	(18, 18)	(18, 27)	[(20, 27)]	train
aal01 01 02	positive	positive	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	lease	lease	(53, 53)	(53, 53)	[]	train
aal01 01 03	positive	positive	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	making good on the promise	Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise	(44, 48)	(7, 48)	[(7, 9), (12, 13)]	train
aal01 02 00	positive	positive	American Airlines and PHL announced Tuesday an agreement to continue to make ` ` critical improvements and to develop new infrastructure ' ' at the city ' s International Airport and Philadelphia Northeast Airport at a total cost of $ 893.8 million .	agreement	American Airlines and PHL announced Tuesday an agreement	(7, 7)	(0, 7)	[(0, 3)]	train
aal01 03 00	neutral	neutral	The investment is broken down into several key initiatives :	investment	investment	(1, 1)	(1, 1)	[]	train
aal01 05 00	neutral	neutral	New air traffic control tower : $ 197.5 million	tower	New air traffic control tower	(4, 4)	(0, 4)	[(0, 4)]	train
aal01 06 00	neutral	neutral	Terminal modernization program enabling projects : $ 96.5 million	Terminal	Terminal	(0, 0)	(0, 0)	[(0, 0)]	train
aal01 09 00	neutral	neutral	Terminal B concession redevelopment : $ 32.8 million	Terminal B	Terminal B	(0, 1)	(0, 1)	[(0, 1)]	train
aal01 10 00	neutral	neutral	Land acquisition : $ 27.1 million	Land acquisition	Land acquisition	(0, 1)	(0, 1)	[]	train
aal01 13 00	positive	positive	The bulk of the dollars are being spent on PHL - - with $ 26 million earmarked for improvements and upgrades at the Northeast Airport .	earmarked	PHL - - with $ 26 million earmarked	(16, 16)	(9, 16)	[(9, 9)]	train
aal01 13 01	positive	positive	The bulk of the dollars are being spent on PHL - - with $ 26 million earmarked for improvements and upgrades at the Northeast Airport .	The bulk of the dollars are being spent on	The bulk of the dollars are being spent on PHL	(0, 8)	(0, 9)	[(9, 9)]	train
aal01 14 00	neutral	neutral	The funding for the projects comes from the airlines , according to Rhett Workman , American Airline ' s managing director of government and airport affairs .	funding	funding for the projects comes from the airlines	(1, 1)	(1, 8)	[(3, 4), (7, 8)]	train
aal01 15 00	neutral	neutral	` ` It is worth noting that these investments are not funded by taxpayer dollars .	investments	investments	(8, 8)	(8, 8)	[]	train
aal01 15 01	neutral	neutral	` ` It is worth noting that these investments are not funded by taxpayer dollars .	funded	these investments are not funded by taxpayer dollars	(11, 11)	(7, 14)	[(7, 8), (13, 14)]	train
aal01 16 00	neutral	neutral	Instead , they are an investment in the region by the 15 airlines that serve the airport , ' ' Workman said in a statement .	investment	investment in the region by the 15 airlines that serve the airport	(5, 5)	(5, 16)	[(10, 16)]	train
aal01 17 00	negative	negative	Workman told Philly.com plans to set up an ` ` automated ` people mover ' ' ' have put put aside and the existing connector bus system - - with tweaked routes and the addition of 12 new buses - will continue to cart passengers between terminals .	plans	plans to set up an ` ` automated ` people mover '	(3, 3)	(3, 14)	[(8, 14)]	train
aal01 18 00	neutral	neutral	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed within the next five to seven years , the airport and American said .	projects	projects , overseen by the Division of Aviation and American Airlines	(4, 4)	(4, 14)	[(9, 14)]	train
aal01 18 01	positive	positive	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed within the next five to seven years , the airport and American said .	completed	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed	(20, 20)	(0, 20)	[(0, 4)]	train
aal01 19 00	positive	positive	PHL Airport CEO Chellie Cameron , in a statement , pointed to the economic impact the investment will have on the Philadelphia region .	economic impact	economic impact	(13, 14)	(13, 14)	[]	train
aal01 19 01	positive	positive	PHL Airport CEO Chellie Cameron , in a statement , pointed to the economic impact the investment will have on the Philadelphia region .	investment	investment	(16, 16)	(16, 16)	[]	train
aal01 20 00	positive	positive	` ` We want our passengers to know that when they choose PHL today , they will receive efficient and comfortable service .	service	PHL today , they will receive efficient and comfortable service	(21, 21)	(12, 21)	[(12, 12), (18, 21)]	train
aal01 21 00	positive	positive	As we grow in the future , it will only get better .	grow	grow	(2, 2)	(2, 2)	[]	train
aal01 21 01	positive	positive	As we grow in the future , it will only get better .	better	better	(11, 11)	(11, 11)	[]	train
aal01 22 00	positive	positive	Also , the direct and indirect jobs created by these projects will help keep the Philadelphia region thriving , ' ' Cameron said .	jobs	jobs	(6, 6)	(6, 6)	[]	train
aal01 22 01	positive	positive	Also , the direct and indirect jobs created by these projects will help keep the Philadelphia region thriving , ' ' Cameron said .	thriving	thriving	(17, 17)	(17, 17)	[]	train
aal01 23 00	positive	positive	In the joint statement , PHL and American said the projects will generate nearly $ 4 billion in economic output in Greater Philadelphia over the next five years .	generate	PHL and American said the projects will generate	(12, 12)	(5, 12)	[(5, 7)]	train
aal02 00 00	negative	negative	Delta Air Lines finds competition intense in May on-time arrivals race	competition	Delta Air Lines finds competition intense in May on-time arrivals race	(4, 4)	(0, 10)	[(0, 2), (8, 10)]	train
aal02 01 00	positive	positive	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race in May .	leader	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance	(12, 12)	(0, 15)	[(0, 2), (14, 15)]	train
aal02 01 01	negative	negative	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race in May .	horse race	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race	(22, 23)	(0, 23)	[(0, 2), (14, 15)]	train
aal02 02 00	positive	positive	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	major domestic carriers	three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition	(19, 21)	(15, 31)	[(15, 21), (29, 31)]	train
aal02 02 01	positive	positive	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	behemoth	behemoth OAG	(3, 3)	(3, 4)	[(4, 4)]	train
aal02 02 02	positive	positive	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	bunched fairly tightly	three of the four major domestic carriers found themselves bunched fairly tightly	(24, 26)	(15, 26)	[(15, 21)]	train
aal02 03 00	positive	positive	Yes , Delta Air Lines still won the month , with 81.1 percent of flights arriving on time .	won	Delta Air Lines still won	(6, 6)	(2, 6)	[(2, 4)]	train
aal02 03 01	positive	positive	Yes , Delta Air Lines still won the month , with 81.1 percent of flights arriving on time .	arriving on time	Delta Air Lines still won the month , with 81.1 percent of flights arriving on time	(15, 17)	(2, 17)	[(11, 17), (2, 4)]	train
aal02 05 00	negative	negative	But Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place performance .	incident	Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident	(20, 20)	(1, 20)	[(1, 3)]	train
aal02 05 01	positive	positive	But Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place performance .	second-place	Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place	(30, 30)	(1, 30)	[(1, 3)]	train
aal02 05 02	positive	positive	But Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place performance .	clearly pushing hard	Chicago-based United Airlines - - clearly pushing hard	(6, 8)	(1, 8)	[(1, 3)]	train
aal02 06 00	positive	positive	OAG reported that 80.1 percent of United ' s flights reached the gate on time .	reached the gate on time	80.1 percent of United ' s flights reached the gate on time	(10, 14)	(3, 14)	[(6, 6), (3, 14)]	train
aal02 07 00	negative	negative	And that figure includes mainline as well as regional flights , which have in recent years had a more spotty performance than have United ' s mainline operations .	more spotty performance	mainline as well as regional flights , which have in recent years had a more spotty performance than have United	(18, 20)	(4, 23)	[(4, 9), (23, 23)]	train
aal02 09 00	negative	negative	Like all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race , American Airlines last year upped its efforts to improve on-time performance .	eating Delta ' s dust	all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race	(9, 13)	(1, 20)	[(1, 5), (17, 20), (10, 10)]	train
aal02 09 01	positive	positive	Like all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race , American Airlines last year upped its efforts to improve on-time performance .	efforts	American Airlines last year upped its efforts	(28, 28)	(22, 28)	[(22, 23)]	train
aal02 09 02	positive	positive	Like all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race , American Airlines last year upped its efforts to improve on-time performance .	improve	American Airlines last year upped its efforts to improve on-time performance	(30, 30)	(22, 32)	[(31, 32), (22, 23)]	train
aal02 10 00	positive	positive	And the May results show that AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time .	world ' s largest	AA , the world ' s largest carrier	(9, 12)	(6, 13)	[(6, 6), (13, 13)]	train
aal02 10 01	positive	positive	And the May results show that AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time .	79.7 percent of its flights to the gate on time	AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time	(16, 25)	(6, 25)	[(6, 6)]	train
aal02 11 00	neutral	neutral	That put AA in third place , but still not far off the pace .	third place	AA in third place	(4, 5)	(2, 5)	[(2, 2)]	train
aal02 11 01	negative	negative	That put AA in third place , but still not far off the pace .	far off the pace	AA in third place , but still not far off the pace	(10, 13)	(2, 13)	[(2, 2)]	train
aal02 12 00	negative	negative	The laggard in May was low-fare behemoth Southwest Airlines .	laggard	laggard in May was low-fare behemoth Southwest Airlines	(1, 1)	(1, 8)	[(5, 8)]	train
aal02 13 00	neutral	neutral	Southwest got 77.6 percent of its flights to the gate on time , according to OAG .	flights to the gate on time	Southwest got 77.6 percent of its flights to the gate on time	(6, 11)	(0, 11)	[(0, 0), (2, 11)]	train
aal02 14 00	neutral	neutral	Southwest shifted to a new reservations system last month , which might have been a factor in its fourth-place finish .	new reservations system	Southwest shifted to a new reservations system	(4, 6)	(0, 6)	[(0, 0), (3, 6)]	train
aal02 14 01	negative	negative	Southwest shifted to a new reservations system last month , which might have been a factor in its fourth-place finish .	fourth-place	Southwest shifted to a new reservations system last month , which might have been a factor in its fourth-place	(18, 18)	(0, 18)	[(0, 0)]	train
aal02 15 00	positive	positive	Or it just may be that as Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule .	ramps up for the peak summer season	Southwest ramps up for the peak summer season	(8, 14)	(7, 14)	[(7, 7)]	train
aal02 15 01	negative	negative	Or it just may be that as Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule .	tougher to juggle more flights and get them where they need to be on schedule	Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule	(20, 34)	(7, 34)	[(7, 7)]	train
aal02 16 00	neutral	neutral	On the flight cancellation front , however , Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled .	cancellation	flight cancellation	(3, 3)	(2, 3)	[(2, 2)]	train
aal02 16 01	positive	positive	On the flight cancellation front , however , Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled .	least number	Southwest had the least number of cancellations	(11, 12)	(8, 14)	[(14, 14), (8, 8)]	train
aal02 16 02	neutral	neutral	On the flight cancellation front , however , Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled .	cancellations	cancellations	(14, 14)	(14, 14)	[]	train
aal02 16 03	neutral	neutral	On the flight cancellation front , however , Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled .	cancelled	Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled	(28, 28)	(8, 28)	[(23, 27), (8, 8)]	train
aal02 17 00	positive	positive	Delta was second best in this department with 0.7 percent of flights cancelled .	second best	Delta was second best in this department	(2, 3)	(0, 6)	[(5, 6), (0, 0)]	train
aal02 17 01	neutral	neutral	Delta was second best in this department with 0.7 percent of flights cancelled .	cancelled	Delta was second best in this department with 0.7 percent of flights cancelled	(12, 12)	(0, 12)	[(0, 0), (8, 11)]	train
aal02 18 00	neutral	neutral	American Airlines cancelled 1.2 percent of its flights , and United cancelled 1.3 percent .	cancelled	American Airlines cancelled 1.2 percent of its flights	(2, 2)	(0, 7)	[(3, 7), (0, 1)]	train
aal02 18 01	neutral	neutral	American Airlines cancelled 1.2 percent of its flights , and United cancelled 1.3 percent .	cancelled	United cancelled 1.3 percent	(11, 11)	(10, 13)	[(10, 10), (12, 13)]	train
aal03 00 00	positive	positive	American Airlines reports load factor increase in May , shares gain	load factor increase	American Airlines reports load factor increase	(3, 5)	(0, 5)	[(0, 1)]	train
aal03 00 01	positive	positive	American Airlines reports load factor increase in May , shares gain	shares gain	shares gain	(9, 10)	(9, 10)	[(9, 9)]	train
aal03 01 00	positive	positive	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	rose	AAL rose	(1, 1)	(0, 1)	[(0, 0)]	train
aal03 01 01	positive	positive	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	load factor that increased	the air carrier reported May load factor that increased	(15, 18)	(10, 18)	[(10, 12)]	train
aal03 01 02	positive	positive	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	traffic growth	the air carrier reported May load factor that increased , as traffic growth	(21, 22)	(10, 22)	[(21, 21), (10, 12)]	train
aal03 01 03	positive	positive	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	rise in capacity	the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity	(25, 27)	(10, 27)	[(27, 27), (10, 12)]	train
aal03 02 00	positive	positive	Load factor increased to 82.1 % from 81.9 % a year ago , while rivals United Continental Holdings Inc . and Southwest Airlines Co . reported load factor declines .	Load factor increased	Load factor increased	(0, 2)	(0, 2)	[]	train
aal03 02 01	negative	negative	Load factor increased to 82.1 % from 81.9 % a year ago , while rivals United Continental Holdings Inc . and Southwest Airlines Co . reported load factor declines .	load factor declines	United Continental Holdings Inc . and Southwest Airlines Co . reported load factor declines	(26, 28)	(15, 28)	[(21, 24), (15, 19)]	train
aal03 03 00	positive	positive	Traffic on American flights increased 2.6 % to 19.9 billion revenue passenger miles , while capacity rose 2.3 % to 24.3 billion available seat miles .	increased	Traffic on American flights increased	(4, 4)	(0, 4)	[(0, 3), (2, 2)]	train
aal03 03 01	positive	positive	Traffic on American flights increased 2.6 % to 19.9 billion revenue passenger miles , while capacity rose 2.3 % to 24.3 billion available seat miles .	capacity	American flights increased 2.6 % to 19.9 billion revenue passenger miles , while capacity	(15, 15)	(2, 15)	[(2, 2), (15, 15)]	train
aal03 04 00	positive	positive	American affirmed its second-quarter outlook for total revenue per available seat mile of an increase of 3.5 % to 5.5 % .	affirmed its second-quarter outlook	American affirmed its second-quarter outlook	(1, 4)	(0, 4)	[(0, 0)]	train
aal03 04 01	positive	positive	American affirmed its second-quarter outlook for total revenue per available seat mile of an increase of 3.5 % to 5.5 % .	total revenue per available seat mile of an increase	American affirmed its second-quarter outlook for total revenue per available seat mile of an increase	(6, 14)	(0, 14)	[(0, 0)]	train
aal03 05 00	positive	positive	The stock has climbed 10 % year to date through Thursday , while the Arca Airline Index XAL has gained 5.9 % and the S & P 500 SPX has advanced 8.7 % .	stock has climbed	The stock has climbed	(1, 3)	(0, 3)	[(0, 1)]	train
aal03 05 01	positive	positive	The stock has climbed 10 % year to date through Thursday , while the Arca Airline Index XAL has gained 5.9 % and the S & P 500 SPX has advanced 8.7 % .	gained	the Arca Airline Index XAL has gained	(19, 19)	(13, 19)	[(13, 17)]	train
aal03 05 02	positive	positive	The stock has climbed 10 % year to date through Thursday , while the Arca Airline Index XAL has gained 5.9 % and the S & P 500 SPX has advanced 8.7 % .	advanced	the S & P 500 SPX has advanced	(30, 30)	(23, 30)	[(23, 28)]	train
aal04 00 00	negative	negative	American Airlines Backtracks a Bit on Its Legroom-Reduction Plan	Backtracks a Bit on Its Legroom-Reduction Plan	American Airlines Backtracks a Bit on Its Legroom-Reduction	(2, 8)	(0, 7)	[(7, 7), (0, 1)]	train
aal04 01 00	negative	negative	Airlines has scrapped its plan to have three rows with just 29 inches of seat pitch on its new 737 MAX 8 fleet .	scrapped	Airlines has scrapped its plan to have three rows with just 29 inches of seat pitch on its new 737 MAX 8 fleet	(2, 2)	(0, 22)	[(0, 0), (7, 22)]	train
aal04 02 00	neutral	neutral	Last month , American Airlines announced that it would go where no U.S . legacy carrier had ever gone before , reducing seat pitch - - the distance between rows - - to as little as 29 inches in some rows on its new Boeing 737 MAX 8 fleet .	reducing	American Airlines announced that it would go where no U.S . legacy carrier had ever gone before , reducing seat pitch	(21, 21)	(3, 23)	[(3, 4), (22, 23)]	train
aal04 02 01	positive	positive	Last month , American Airlines announced that it would go where no U.S . legacy carrier had ever gone before , reducing seat pitch - - the distance between rows - - to as little as 29 inches in some rows on its new Boeing 737 MAX 8 fleet .	go where no U.S . legacy carrier had ever gone before	American Airlines announced that it would go where no U.S . legacy carrier had ever gone before	(9, 19)	(3, 19)	[(3, 4)]	train
aal04 03 00	negative	negative	American Airlines has now reversed that decision .	reversed that decision	American Airlines has now reversed that decision	(4, 6)	(0, 6)	[(0, 1)]	train
aal04 04 00	neutral	neutral	It will provide a minimum seat pitch of 30 inches on the 737 MAX 8 .	provide	provide a minimum seat pitch of 30 inches	(2, 2)	(2, 9)	[(4, 9)]	train
aal04 05 00	negative	negative	However , this is still a more cramped configuration than what American currently offers on most of its planes .	offers	cramped configuration than what American currently offers	(13, 13)	(7, 13)	[(7, 8), (11, 11)]	train
