id	polarity	polarity_all	clause_text	orig_sentence_text	split
aal00_eli_s11_c00	neutral	['neutral']	The company ' s prior guidance for TRASM was 3 % - - 5 % ,	The company ' s prior guidance for TRASM was 3 % - - 5 % , while that for pre-tax margin was 11 % - - 13 % .	train
aal00_eli_s11_c01	neutral	['neutral', 'neutral']	that for pre-tax margin was 11 % - - 13 %	The company ' s prior guidance for TRASM was 3 % - - 5 % , while that for pre-tax margin was 11 % - - 13 % .	train
aal00_eli_s12_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	The company recently reported first-quarter 2017 results , beating the Zacks Consensus Estimate for both earnings and revenues .	The company recently reported first-quarter 2017 results , beating the Zacks Consensus Estimate for both earnings and revenues .	train
aal00_eli_s13_c00	positive	['neutral', 'positive']	The carrier ' s adjusted earnings of 61 cents per share adjusted earnings of 61 cents per share	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents .	train
aal00_eli_s13_c01	positive	['neutral', 'neutral', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents .	train
aal00_eli_s14_c00	positive	['neutral', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate of $ 9,621.3 million .	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate of $ 9,621.3 million .	train
aal00_eli_s15_c00	neutral	['neutral']	Airline heavyweights like Southwest Airlines LUV and Alaska Air Group ALK have also reported their financial numbers over the past few weeks .	Airline heavyweights like Southwest Airlines LUV and Alaska Air Group ALK have also reported their financial numbers over the past few weeks .	train
aal00_eli_s16_c00	none	[]	American Airlines Group , Inc . .	American Airlines Group , Inc . .	train
aal00_eli_s17_c00	neutral	['neutral', 'neutral']	Zacks Rank & Key Pick American Airlines currently carries a Zacks Rank	Zacks Rank & Key Pick American Airlines currently carries a Zacks Rank # 3 Hold .	train
aal00_eli_s17_c01	neutral	['neutral']	Hold Hold	Zacks Rank & Key Pick American Airlines currently carries a Zacks Rank # 3 Hold .	train
aal00_eli_s18_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive']	A better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY	A better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY , which carries a Zacks Rank # 2 Buy .	train
aal00_eli_s18_c01	positive	['positive', 'positive', 'positive', 'positive', 'positive']	Deutsche Lufthansa AG DLAKY carries a Zacks Rank # 2 Buy	A better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY , which carries a Zacks Rank # 2 Buy .	train
aal00_eli_s19_c00	positive	['positive']	Shares of Deutsche Lufthansa have rallied 39.84 % on a year-to-date basis .	Shares of Deutsche Lufthansa have rallied 39.84 % on a year-to-date basis .	train
aal01_eli_s00_c00	positive	['positive', 'positive']	$ 900M investment at PHL to bring new traffic control tower , remodeled terminals	$ 900M investment at PHL to bring new traffic control tower , remodeled terminals	train
aal01_eli_s01_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive']	largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	train
aal01_eli_s01_c01	positive	['positive', 'positive']	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines led by American Airlines	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	train
aal01_eli_s01_c02	positive	['positive', 'neutral', 'positive', 'positive']	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next tower	A $ 900 million infrastructure investment at Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise made in the 2015 lease agreement for a new air traffic control tower .	train
aal01_eli_s02_c00	positive	['positive']	an agreement to continue to make ` ` critical improvements and to develop new infrastructure ' ' at the city ' s International Airport and Philadelphia Northeast Airport at a total cost of $ 893.8 million	American Airlines and PHL announced Tuesday an agreement to continue to make ` ` critical improvements and to develop new infrastructure ' ' at the city ' s International Airport and Philadelphia Northeast Airport at a total cost of $ 893.8 million .	train
aal01_eli_s02_c01	none	[]	American Airlines and PHL announced Tuesday	American Airlines and PHL announced Tuesday an agreement to continue to make ` ` critical improvements and to develop new infrastructure ' ' at the city ' s International Airport and Philadelphia Northeast Airport at a total cost of $ 893.8 million .	train
aal01_eli_s03_c00	neutral	['neutral']	The investment is broken down into several key initiatives :	The investment is broken down into several key initiatives :	train
aal01_eli_s04_c00	none	[]	Maintenance & repair projects : $ 395.9 million	Maintenance & repair projects : $ 395.9 million	train
aal01_eli_s05_c00	neutral	['neutral']	New air traffic control tower : $ 197.5 million	New air traffic control tower : $ 197.5 million	train
aal01_eli_s06_c00	neutral	['neutral']	Terminal modernization program enabling projects : $ 96.5 million	Terminal modernization program enabling projects : $ 96.5 million	train
aal01_eli_s07_c00	none	[]	Fuel farm expansion : $ 94.6 million	Fuel farm expansion : $ 94.6 million	train
aal01_eli_s08_c00	none	[]	Deicing facility conversion : $ 43.2 million	Deicing facility conversion : $ 43.2 million	train
aal01_eli_s09_c00	neutral	['neutral', 'neutral']	Terminal B concession redevelopment : $ 32.8 million	Terminal B concession redevelopment : $ 32.8 million	train
aal01_eli_s10_c00	neutral	['neutral', 'neutral']	Land acquisition : $ 27.1 million	Land acquisition : $ 27.1 million	train
aal01_eli_s11_c00	none	[]	Capital equipment : $ 6.2 million	Capital equipment : $ 6.2 million	train
aal01_eli_s12_c00	none	[]	For more details on this project , , click here	For more details on this project , which is already underway , click here .	train
aal01_eli_s12_c01	none	[]	 is already underway	For more details on this project , which is already underway , click here .	train
aal01_eli_s13_c00	positive	['positive', 'positive', 'positive']	$ 26 million earmarked for improvements and upgrades at the Nort	The bulk of the dollars are being spent on PHL - - with $ 26 million earmarked for improvements and upgrades at the Northeast Airport .	train
aal01_eli_s13_c01	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	The bulk of the dollars are being spent on PHL with $ 26 million	The bulk of the dollars are being spent on PHL - - with $ 26 million earmarked for improvements and upgrades at the Northeast Airport .	train
aal01_eli_s14_c00	neutral	['neutral']	The funding for the projects comes from the airlines , according to Rhett Workman , American Airline ' s managing director of government and airport affairs .	The funding for the projects comes from the airlines , according to Rhett Workman , American Airline ' s managing director of government and airport affairs .	train
aal01_eli_s15_c00	neutral	['neutral', 'neutral']	these investments are not funded by taxpayer dollars	` ` It is worth noting that these investments are not funded by taxpayer dollars .	train
aal01_eli_s15_c01	none	[]	` ` It is worth noting	` ` It is worth noting that these investments are not funded by taxpayer dollars .	train
aal01_eli_s16_c00	none	[]	 serve the airport	Instead , they are an investment in the region by the 15 airlines that serve the airport , ' ' Workman said in a statement .	train
aal01_eli_s16_c01	none	[]	Workman said in a statement	Instead , they are an investment in the region by the 15 airlines that serve the airport , ' ' Workman said in a statement .	train
aal01_eli_s16_c02	neutral	['neutral']	Instead , they are an investment in the region by the 15 airlines , ' '	Instead , they are an investment in the region by the 15 airlines that serve the airport , ' ' Workman said in a statement .	train
aal01_eli_s17_c00	none	[]	Workman the existing connector bus system - - with tweaked routes and the addition of 12 new buses - told	Workman told Philly.com plans to set up an ` ` automated ` people mover ' ' ' have put put aside and the existing connector bus system - - with tweaked routes and the addition of 12 new buses - will continue to cart passengers between terminals .	train
aal01_eli_s17_c01	positive	['positive']	Philly.com plans to set up an	Workman told Philly.com plans to set up an ` ` automated ` people mover ' ' ' have put put aside and the existing connector bus system - - with tweaked routes and the addition of 12 new buses - will continue to cart passengers between terminals .	train
aal01_eli_s17_c02	none	[]	Workman the existing connector bus system - - with tweaked routes and the addition of 12 new buses - will continue to cart passengers between terminals	Workman told Philly.com plans to set up an ` ` automated ` people mover ' ' ' have put put aside and the existing connector bus system - - with tweaked routes and the addition of 12 new buses - will continue to cart passengers between terminals .	train
aal01_eli_s17_c03	none	[]	` ` automated ` people mover ' ' ' have put put aside	Workman told Philly.com plans to set up an ` ` automated ` people mover ' ' ' have put put aside and the existing connector bus system - - with tweaked routes and the addition of 12 new buses - will continue to cart passengers between terminals .	train
aal01_eli_s18_c00	positive	['neutral', 'positive']	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed within the next five to seven ye	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed within the next five to seven years , the airport and American said .	train
aal01_eli_s18_c01	positive	['neutral', 'positive']	All of the announced projects , overseen by the Division of Aviation rlines , are expected to be completed within the ne	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed within the next five to seven years , the airport and American said .	train
aal01_eli_s19_c00	positive	['positive', 'positive']	PHL Airport CEO Chellie Cameron in a statement pointed to the economic impact	PHL Airport CEO Chellie Cameron , in a statement , pointed to the economic impact the investment will have on the Philadelphia region .	train
aal01_eli_s19_c01	positive	['positive', 'positive']	the economic impact will have on the Philadelphia region	PHL Airport CEO Chellie Cameron , in a statement , pointed to the economic impact the investment will have on the Philadelphia region .	train
aal01_eli_s20_c00	positive	['positive']	when they , they will receive efficient and comfortable service will receive efficient and comfortable service	` ` We want our passengers to know that when they choose PHL today , they will receive efficient and comfortable service .	train
aal01_eli_s20_c01	none	[]	` ` We want our passengers to know	` ` We want our passengers to know that when they choose PHL today , they will receive efficient and comfortable service .	train
aal01_eli_s20_c02	positive	['positive']	when they , they will receive efficient and comfortable service choose PHL today	` ` We want our passengers to know that when they choose PHL today , they will receive efficient and comfortable service .	train
aal01_eli_s21_c00	positive	['positive']	we it will only get better	As we grow in the future , it will only get better .	train
aal01_eli_s21_c01	positive	['positive']	we it grow in the future	As we grow in the future , it will only get better .	train
aal01_eli_s22_c00	none	[]	' Cameron said	Also , the direct and indirect jobs created by these projects will help keep the Philadelphia region thriving , ' ' Cameron said .	train
aal01_eli_s22_c01	positive	['positive']	Also , the direct and indirect jobs created by these projects created by these projects	Also , the direct and indirect jobs created by these projects will help keep the Philadelphia region thriving , ' ' Cameron said .	train
aal01_eli_s22_c02	positive	['positive']	Also , the direct and indirect jobs created by these projects will help keep	Also , the direct and indirect jobs created by these projects will help keep the Philadelphia region thriving , ' ' Cameron said .	train
aal01_eli_s22_c03	positive	['positive']	the Philadelphia region thriving , '	Also , the direct and indirect jobs created by these projects will help keep the Philadelphia region thriving , ' ' Cameron said .	train
aal01_eli_s23_c00	none	[]	In the joint statement , PHL and American said	In the joint statement , PHL and American said the projects will generate nearly $ 4 billion in economic output in Greater Philadelphia over the next five years .	train
aal01_eli_s23_c01	positive	['positive']	the projects will generate nearly $ 4 billion in economic output in Greater Philadelphia over the next five years	In the joint statement , PHL and American said the projects will generate nearly $ 4 billion in economic output in Greater Philadelphia over the next five years .	train
aal02_eli_s00_c00	negative	['negative']	Delta Air Lines finds competition intense in May on-time arrivals race	Delta Air Lines finds competition intense in May on-time arrivals race	train
aal02_eli_s01_c00	positive	['positive']	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , long used to being hailed as the undisputed leader in on-time performance	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race in May .	train
aal02_eli_s01_c01	negative	['positive', 'negative', 'negative']	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race in May	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race in May .	train
aal02_eli_s02_c00	positive	['positive', 'positive', 'positive']	themselves bunched fairly tightly in the on-time arrival competition	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	train
aal02_eli_s02_c01	none	[]	Airline performance data and found	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	train
aal02_eli_s02_c02	none	[]	OAG released its May on-time arrival data this morning	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	train
aal02_eli_s02_c03	positive	['positive']	Airline performance data and behemoth	Airline performance data behemoth OAG released its May on-time arrival data this morning , and three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition .	train
aal02_eli_s03_c00	positive	['positive', 'positive', 'positive']	flights arriving on time	Yes , Delta Air Lines still won the month , with 81.1 percent of flights arriving on time .	train
aal02_eli_s03_c01	positive	['positive', 'positive']	Delta Air Lines still won the month	Yes , Delta Air Lines still won the month , with 81.1 percent of flights arriving on time .	train
aal02_eli_s04_c00	none	[]	The United States Department of Transportation considers a flight to have arrived on time	The United States Department of Transportation considers a flight to have arrived on time if it reaches the gate within 14 minutes of its scheduled arrival time .	train
aal02_eli_s04_c01	none	[]	it reaches the gate within 14 minutes of its scheduled arrival time	The United States Department of Transportation considers a flight to have arrived on time if it reaches the gate within 14 minutes of its scheduled arrival time .	train
aal02_eli_s05_c00	positive	['negative', 'positive', 'positive', 'positive', 'positive']	But Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place performance .	But Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place performance .	train
aal02_eli_s06_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive']	80.1 percent of United ' s flights reached the gate on time	OAG reported that 80.1 percent of United ' s flights reached the gate on time .	train
aal02_eli_s06_c01	none	[]	OAG reported	OAG reported that 80.1 percent of United ' s flights reached the gate on time .	train
aal02_eli_s07_c00	none	[]	And that figure includes mainline as well as regional flights ,	And that figure includes mainline as well as regional flights , which have in recent years had a more spotty performance than have United ' s mainline operations .	train
aal02_eli_s07_c01	negative	['negative', 'negative', 'negative']	 have in recent years had a more spotty performance than have United ' s mainline operations	And that figure includes mainline as well as regional flights , which have in recent years had a more spotty performance than have United ' s mainline operations .	train
aal02_eli_s08_c00	none	[]	United is a unit of United Continental Holdings .	United is a unit of United Continental Holdings .	train
aal02_eli_s09_c00	negative	['negative']	all the other domestic carriers have been eating Delta ' s dust for years in the on-time arrivals race	Like all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race , American Airlines last year upped its efforts to improve on-time performance .	train
aal02_eli_s09_c01	positive	['positive', 'positive']	American Airlines last year upped its efforts to improve on-time performance	Like all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race , American Airlines last year upped its efforts to improve on-time performance .	train
aal02_eli_s10_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time	And the May results show that AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time .	train
aal02_eli_s10_c01	positive	['positive', 'positive']	And the May results show	And the May results show that AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time .	train
aal02_eli_s11_c00	negative	['neutral', 'neutral', 'negative', 'negative', 'negative', 'negative']	That put AA in third place , but still not far off the pace .	That put AA in third place , but still not far off the pace .	train
aal02_eli_s12_c00	negative	['negative']	The laggard in May was low-fare behemoth Southwest Airlines .	The laggard in May was low-fare behemoth Southwest Airlines .	train
aal02_eli_s13_c00	neutral	['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']	Southwest got 77.6 percent of its flights to the gate on time , according to OAG .	Southwest got 77.6 percent of its flights to the gate on time , according to OAG .	train
aal02_eli_s14_c00	negative	['negative']	Southwest might have been a factor in its fourth-place finish	Southwest shifted to a new reservations system last month , which might have been a factor in its fourth-place finish .	train
aal02_eli_s14_c01	neutral	['neutral', 'neutral', 'neutral']	Southwest shifted to a new reservations system last month	Southwest shifted to a new reservations system last month , which might have been a factor in its fourth-place finish .	train
aal02_eli_s15_c00	negative	['positive', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative']	it just may be the carrier is finding it tougher to juggle more flights and get them	Or it just may be that as Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule .	train
aal02_eli_s15_c01	negative	['positive', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative']	they need to be on schedule	Or it just may be that as Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule .	train
aal02_eli_s15_c02	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'negative', 'negative', 'negative', 'negative', 'negative']	it may be that as Southwest ramps up for the peak summer season the carrier is finding it tougher	Or it just may be that as Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule .	train
aal02_eli_s16_c00	positive	['neutral', 'positive', 'positive', 'neutral', 'neutral']	On the flight cancellation front , however , Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled .	On the flight cancellation front , however , Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled .	train
aal02_eli_s17_c00	positive	['positive', 'positive']	Delta was second best in this department	Delta was second best in this department with 0.7 percent of flights cancelled .	train
aal02_eli_s17_c01	neutral	['neutral']	flights cancelled	Delta was second best in this department with 0.7 percent of flights cancelled .	train
aal02_eli_s18_c00	neutral	['neutral', 'neutral']	American Airlines and cancelled 1.2 percent of its flights	American Airlines cancelled 1.2 percent of its flights , and United cancelled 1.3 percent .	train
aal02_eli_s18_c01	neutral	['neutral', 'neutral']	American Airlines and cancelled 1.3 percent	American Airlines cancelled 1.2 percent of its flights , and United cancelled 1.3 percent .	train
aal03_eli_s00_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive']	American Airlines reports load factor increase in May , shares gain	American Airlines reports load factor increase in May , shares gain	train
aal03_eli_s01_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive']	traffic growth outpaced a rise in capacity	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	train
aal03_eli_s01_c01	positive	['positive', 'positive']	May load factor increased	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	train
aal03_eli_s01_c02	positive	['positive', 'positive']	AAL rose 0.5 % in premarket trade Friday after the air carrier reported May load factor	AAL rose 0.5 % in premarket trade Friday , after the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity .	train
aal03_eli_s02_c00	negative	['positive', 'negative', 'negative', 'negative']	rivals United Continental Holdings Inc and Southwest Airlines Co reported load factor declines	Load factor increased to 82.1 % from 81.9 % a year ago , while rivals United Continental Holdings Inc . and Southwest Airlines Co . reported load factor declines .	train
aal03_eli_s02_c01	positive	['positive', 'positive', 'positive', 'negative']	Load factor increased to 82.1 % from 81.9 % a year ago ,	Load factor increased to 82.1 % from 81.9 % a year ago , while rivals United Continental Holdings Inc . and Southwest Airlines Co . reported load factor declines .	train
aal03_eli_s03_c00	positive	['positive']	capacity rose 2.3 % to 24.3 billion available seat miles	Traffic on American flights increased 2.6 % to 19.9 billion revenue passenger miles , while capacity rose 2.3 % to 24.3 billion available seat miles .	train
aal03_eli_s03_c01	positive	['positive']	Traffic on American flights increased 2.6 % to 19.9 billion revenue passenger miles ,	Traffic on American flights increased 2.6 % to 19.9 billion revenue passenger miles , while capacity rose 2.3 % to 24.3 billion available seat miles .	train
aal03_eli_s04_c00	positive	['positive', 'positive']	American affirmed its second-quarter outlook for total revenue per available seat mile of an increase of 3.5 % to 5.5 % .	American affirmed its second-quarter outlook for total revenue per available seat mile of an increase of 3.5 % to 5.5 % .	train
aal03_eli_s05_c00	none	[]	5.9 % the S & P 500 SPX 	The stock has climbed 10 % year to date through Thursday , while the Arca Airline Index XAL has gained 5.9 % and the S & P 500 SPX has advanced 8.7 % .	train
aal03_eli_s05_c01	positive	['positive', 'positive']	The stock has climbed 10 % year to date while the Arca Airline Index XAL has gained 5.9 %	The stock has climbed 10 % year to date through Thursday , while the Arca Airline Index XAL has gained 5.9 % and the S & P 500 SPX has advanced 8.7 % .	train
aal04_eli_s00_c00	negative	['negative']	American Airlines Backtracks a Bit on Its Legroom-Reduction Plan	American Airlines Backtracks a Bit on Its Legroom-Reduction Plan	train
aal04_eli_s01_c00	negative	['negative']	Airlines has scrapped its plan to have three rows with just 29 inches of seat pitch on its new 737 MAX 8 fleet .	Airlines has scrapped its plan to have three rows with just 29 inches of seat pitch on its new 737 MAX 8 fleet .	train
aal04_eli_s02_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	Last month American Airlines announced that it would go where no U.S . legacy carrier had ever gone before ,	Last month , American Airlines announced that it would go where no U.S . legacy carrier had ever gone before , reducing seat pitch - - the distance between rows - - to as little as 29 inches in some rows on its new Boeing 737 MAX 8 fleet .	train
aal04_eli_s02_c01	positive	['neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	no U.S . legacy carrier had ever gone before reducing seat pitch - - the distance between rows - - to as little as 29 inches in some rows on its new Boeing 737 MAX 8 fleet	Last month , American Airlines announced that it would go where no U.S . legacy carrier had ever gone before , reducing seat pitch - - the distance between rows - - to as little as 29 inches in some rows on its new Boeing 737 MAX 8 fleet .	train
aal04_eli_s03_c00	negative	['negative', 'negative', 'negative']	American Airlines has now reversed that decision .	American Airlines has now reversed that decision .	train
aal04_eli_s04_c00	neutral	['neutral']	It will provide a minimum seat pitch of 30 inches on the 737 MAX 8 .	It will provide a minimum seat pitch of 30 inches on the 737 MAX 8 .	train
aal04_eli_s05_c00	negative	['negative']	American currently offers on most of its planes	However , this is still a more cramped configuration than what American currently offers on most of its planes .	train
aal04_eli_s05_c01	none	[]	However , this is still a more cramped configuration than	However , this is still a more cramped configuration than what American currently offers on most of its planes .	train
aal04_eli_s06_c00	positive	['negative', 'positive', 'positive']	it could cause more and more travelers to defect to more customer-friendly airlines , such as JetBlue Air	As legacy carriers continue to reduce passenger legroom in a drive to cut costs , it could cause more and more travelers to defect to more customer-friendly airlines , such as JetBlue Airways and Southwest Airlines .	train
aal04_eli_s06_c01	neutral	['neutral']	legacy carriers continue to reduce passenger legroom in a drive	As legacy carriers continue to reduce passenger legroom in a drive to cut costs , it could cause more and more travelers to defect to more customer-friendly airlines , such as JetBlue Airways and Southwest Airlines .	train
aal04_eli_s07_c00	negative	['negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative']	Cost creep runaway costs have become a big problem for American Airlines	Cost creep has held American Airlines back In the past couple of years , runaway costs have become a big problem for American Airlines .	train
aal04_eli_s07_c01	negative	['negative', 'negative', 'negative', 'negative', 'negative']	Cost creep runaway costs has held	Cost creep has held American Airlines back In the past couple of years , runaway costs have become a big problem for American Airlines .	train
aal04_eli_s08_c00	positive	['positive', 'positive']	cost growth should slow considerably in 2018	American ' s management has indicated that cost growth should slow considerably in 2018 .	train
aal04_eli_s08_c01	none	[]	American ' s management has indicated	American ' s management has indicated that cost growth should slow considerably in 2018 .	train
aal04_eli_s09_c00	negative	['negative', 'neutral', 'neutral']	Yet the company clearly has to do more work to match its competitors in terms of unit costs .	Yet the company clearly has to do more work to match its competitors in terms of unit costs .	train
aal04_eli_s10_c00	negative	['negative', 'negative']	American Airlines ' unit costs have surged in recent years .	American Airlines ' unit costs have surged in recent years .	train
