id	text	labels	pred	strong_lexical_indicator	unusual_language	in_context	plausible_pred	strong_lex_ignored	preproc	target_ambiguous	lexical ambi	modified_negation_counterfac	COMMENT
aapl16_gil_s27_c00	The almost $ 3 billion increase in App Store revenue made a small dent in Apple ' s total revenue drop of about $ 18 billion .	negative	positive				y		y		y		
f13_gil_s12_c00	` ` We see it as big enough to pursue some real engineering and some real unique parts .	positive	none			y							
wmt07_gil_s16_c01	Walmart ' s strategy comes on the heels of Amazon announcement	neutral	positive			y							
wmt06_gil_s13_c02	a factor hurt results	neutral	negative				y						
f14_gil_s22_c02	Read GM ' s and masterful 91 - page manifesto on its strategy for AVs and BEVs -LRB- available here -RRB-	positive	none			y			y				
f13_gil_s11_c01	` I , ' said in an interview said in an interview	negative	none						y				
amzn13_gil_s01_c00	as the eco rce giant has trounced many tradit	neutral	positive				y			y			
wmt06_gil_s10_c00	there will be year-over-year same-store sales	positive	none				y		y				
aapl15_gil_s17_c00	This could be a $ 60 billion business within four years , even with some slowing in growth .	positive	negative									y	
amzn12_gil_s36_c00	Amazon acquire a larger entity	neutral	positive				y			y			
f14_gil_s14_c04	I think	neutral	none				y		y				
amzn12_gil_s26_c02	Meanwhile , PBMs Gupte will be more shielded	positive	none		y	y							
ba16_gil_s02_c01	 has been the most influential component of the price-weighted Dow	positive	none										
jnj04_gil_s07_c00	some expected	negative	none						y				
cvx05_gil_s13_c02	they can make reserves economically viable or unviable at any given year-end	none	negative				y				y	y	
bac06_gil_s25_c00	Citigroup , Goldman Sachs , HSBC and Nomura put together the original loan to Mr . Wiese .	negative	none			y							
ba14_gil_s27_c00	Boeing still has work to do	negative	none		y	y							
amzn12_gil_s17_c00	Amazon ' s involvement could presumably affect any	neutral	none				y						
cvx04_gil_s04_c02	As ` ` Dogs of the Dow , ' ' the strategy to buy weakness on brand-name dividend stocks to buy weakness on brand-name dividend stocks	positive	neutral						y		y		
nem06_gil_s10_c00	The daily chart for Newmont Mining shows the stock closed at $ 36.44	positive	neutral			y							
bac04_gil_s27_c00	It paid slightly higher rates to depositors in the quarter	negative	positive			y	y						labeling error
jnj06_gil_s01_c00	We have created an interactive dashboard on Johnson & Johnson ' s expected financial performance in 2018 .	neutral	none				y						
wmt07_gil_s08_c01	the statement announcing the roll out of the program that ` ` more than 80 percent of Americans do n't know what they will have for dinner tonight	positive	none		y	y	y						
wmt07_gil_s16_c00	it will be delivering its own prepared foods and meal kits from its Whole Foods stores	positive	none			y							
jnj04_gil_s11_c04	, , , says sees growth accelerating for the full-year	neutral	positive	y			y						
wmt07_gil_s15_c02	the Meal Kit trend might find itself in the same position	positive	none			y	y						
aapl15_gil_s08_c02	` We , and it , ' ' CFRA Research analyst Angelo Zino says ' ' will mostly be in services	positive	none			y			y				
amzn12_gil_s04_c03	the grocery chain might soon house pharmacy locations	positive	none					y					
bac05_gil_s02_c02	The firm - - already known to be refraining from offering bitcoin futures contracts - - told financial advisers	negative	none		y	y							
f14_gil_s24_c01	I applaud your courage	none	positive	y									
aapl15_gil_s25_c01	It ' Zino cautions	positive	none					y					
bac05_gil_s01_c01	the brokerage broadly eschews the virtual currency	negative	none			y							
duk07_gil_s11_c00	The huge discounts to both the stock ' s key moving averages moving averages	positive	negative				y						
f14_gil_s14_c01	there are some currencies	positive	none				y		y				
ba15_gil_s06_c01	Boeing has been rumored	positive	none				y		y				
bac06_gil_s26_c00	Those banks sold off large chunks of their exposure to several other banks , including Bank of America .	negative	none						y	y			
duk06_gil_s09_c00	 are sold short and not yet covered back	none	negative				y		y	y			
cvx05_gil_s27_c00	Barclays estimates Exxon ' s average royalty rate in the Permian at about 20 percent , versus less than 10 percent for Chevron .	positive	neutral		y	y	y						
aapl15_gil_s04_c00	a forecast repeated again this April when such a number seemed outlandish	positive	none					y					
wmt07_gil_s03_c01	Walmart has decided to enter the meal kit business on its own -LRB- at least for now -RRB-	positive	neutral				y					y	
jnj05_gil_s05_c02	as the day progressed and analysts dug  ow the headline number	negative	none						y				
jnj06_gil_s13_c00	biosimilars impacting the company ' s future growth	negative	positive			y			y				
ba14_gil_s06_c02	' was coming	positive	none				y		y				
aapl15_gil_s19_c01	people demand virtual-reality games and other AR-based services	positive	none			y				y			
duk07_gil_s00_c00	Duke Energy Stock Is at Its Most Oversold Level in 5 Years	positive	negative					y					
jnj04_gil_s08_c03	For 2018 , the company lighter , Novarro says	negative	none				y		y				
cvx04_gil_s07_c01	Chevron ' s P / E and is 27.60	neutral	none			y							
nem04_gil_s03_c00	` ' hold	positive	none										
nem04_gil_s15_c00	The firm has a target price of $ 43 on the stock .	neutral	positive					y					
jnj05_gil_s06_c01	 to end the day at $ 141.86 a share	none	neutral			y			y				
wmt07_gil_s04_c01	the majority of meal kits are purchased from online subscription services , in-store meal kit sales	positive	none		y								
aapl16_gil_s04_c02	I own Apple shares	positive	none			y							
jnj04_gil_s04_c00	Not much has changed for the health-care conglomerate , analysts said ,	neutral	none			y							
f13_gil_s18_c01	 comes in a high-performance SRT package or a Trackhawk edition with a monstrous Hemi V - 8 engine	positive	none	y				y					
bac05_gil_s02_c01	not to pitch the fund or execute new client requests to buy into it , according to an excerpt of a Dec . 8 internal memo	negative	none		y							y	
duk07_gil_s18_c01	The fall in the stock ' s short interest could mean	positive	negative					y				y	
f14_gil_s16_c01	we is those natural hedges is those natural hedges	neutral	none		y								
cvx05_gil_s10_c00	Home Advantage	positive	none		y								
aapl14_gil_s07_c00	the iPhone X pricing Putting aside stock issues	negative	neutral				y					y	
cvx05_gil_s18_c00	But in liquids , it was definitely a case of America first :	positive	none		y	y	y						
jnj06_gil_s02_c00	You can adjust the revenue and margin drivers to see the impact on the company ' s performance .	none	neutral			y							
nem04_gil_s08_c00	Upgrades	none	positive				y						
nem06_gil_s12_c00	it held its 200 - day simple moving average of $ 36.20	neutral	none					y					
duk06_gil_s01_c01	its RSI falls below 30	none	negative				y						
amzn12_gil_s10_c01	ud services - - and decimating key players 	positive	negative				y		y				
aapl15_gil_s37_c01	The other thing to watch to watch	positive	none		y	y							
amzn12_gil_s30_c01	That but does n't rule out a pharmaceutical entry	positive	none		y								
f13_gil_s08_c01	As U.S . car buyers continue their mass migration into utility vehicles some are bringing along their preference for performance	positive	none		y								
duk07_gil_s06_c00	Duke Energy stock is currently trading deep in the oversold zone with an RSI relative strength index of 5 .	positive	negative					y					
cvx06_gil_s03_c00	In this series , we ' ll look at Chevron ' s CVX current financial position and growth prospects .	none	neutral				y						
wmt05_gil_s02_c02	Revenue but hit only $ 1.33	neutral	positive				y		y			y	
nem06_gil_s02_c01	its P / E ratio is 200.67	negative	neutral			y	y		y				
bac06_gil_s04_c02	Bank of America the people is trying to figure out	negative	none				y		y				
ba14_gil_s22_c00	bid for Embraer is just a modest bump up from	positive	neutral										
bac04_gil_s16_c01	The bank down from an expected 29 % before the new tax law , Chief Financial Officer Paul Donofrio said on a call with reporters Wednesday morning	positive	negative				y		y				
duk07_gil_s04_c00	The second-largest utility by market cap , Duke Energy ( DUK ) , has been on a similar downtrend in this period .	neutral	negative				y		y				
f15_gil_s33_c01	we can take the electric vehicle projections to the bank	positive	none			y	y						
jnj05_gil_s05_c00	ow the headline numbers , those res	negative	none				y		y				
nem06_gil_s04_c00	The stock closed Tuesday at $ 38.39 , up 2.3 % year to date after falling into correction territory at its 2018 low of $ 35.98 on Feb . 9 .	positive	negative			y							
f13_gil_s07_c01	the idea of doing hot laps in the family hauler welcome to the latest twist in the SUV craze welcome to the latest twist in the SUV craze	positive	none		y								
nem05_gil_s12_c00	The midpoint of Newmont ' s current guidance suggests	none	neutral				y						
amzn12_gil_s34_c00	, , company did not list any pharmacy-related jobs , Hynes said reported on the online retailer ' s purported plan	neutral	none		y								
aapl15_gil_s08_c01	` We , and it , ' ' CFRA Research analyst Angelo Zino says ' ' expect a lot to happen with two to three years	positive	none					y					
wmt05_gil_s05_c01	 added scale	positive	none		y								
amzn12_gil_s09_c00	` ` Amazon , with a giant marketplace , has a lot of ability to collect information . ' '	positive	none										
nem04_gil_s21_c01	 to ` ` outperform ' '	none	positive				y			y			
nem05_gil_s02_c01	Toronto-based Barrick last week reported 5.32 million ounces	positive	none		y	y							
ba14_gil_s27_c01	work to do to secure an Embraer acquisition	negative	positive			y	y		y				
jnj05_gil_s03_c00	The health-care conglomerate unveiled fourth quarter financial results a	positive	none					y					
jnj05_gil_s00_c00	Where ' s The Tylenol ?	negative	none		y								
nem04_gil_s04_c00	` ' sell	positive	none				y		y				
wmt06_gil_s11_c01	Despite the largely bullish outlook , Goldman analysts leave room for risk , noting	negative	positive				y					y	
nem05_gil_s04_c00	the company posts fourth-quarter earnings and updates	neutral	none					y					
amzn12_gil_s11_c01	the highly regulated drug business has never been particularly transparent	negative	none										
cvx05_gil_s28_c02	the capital-intensive business of shale development work for a supermajor ' s needs read : dividends	negative	none		y								
f14_gil_s12_c00	Not much .	negative	none		y		y		y				
cvx05_gil_s28_c00	Both companies have yet to fully demonstrate	negative	none									y	
f14_gil_s32_c00	This not and means	negative	none				y		y				
f14_gil_s24_c00	I will congratulate you on receiving the company ' s recently declared special dividend of $ 0.13 in addition to your regular quarterly dividend of $ 0.15 % on March 1st	neutral	positive			y	y						
nem06_gil_s15_c02	The stock is above its 200 - week simple moving average at $ 29.06	positive	none					y					
aapl14_gil_s08_c02	seven percent year-on-year grow	none	positive				y						
cvx05_gil_s25_c00	It pays low or no royalties on its acreage there	positive	none		y								
amzn12_gil_s03_c01	that the massive online retailer had observers all aflutter has had observers all aflutter	positive	none		y								
amzn13_gil_s10_c01	AWS should enjoy years of secular tailwinds	positive	negative					y					
amzn12_gil_s25_c00	a move saw as a response to the Amazon threat	positive	none										
bac06_gil_s28_c00	Mr . Wiese ' s vehicles pledged 628 million shares - - at that point worth $ 3.175 billion - - as collateral against the loan .	neutral	none			y							
bac06_gil_s08_c02	One of the reasons  because we take the time to analyze what happened when things do 	positive	none						y				
bac06_gil_s13_c01	 held pieces of a € 1.6 billion -LRB- $ 2.0 billion -RRB- loan to Christo Wiese	neutral	none			y							
amzn12_gil_s35_c02	, , ' said is no obvious asset to buy	neutral	none			y	y						
bac04_gil_s07_c00	Without the $ 2.9 billion tax charge , however , the bank ' s profit would have risen to $ 5.3 billion , or 47 cents a share .	negative	positive									y	
cvx05_gil_s21_c00	This shift toward home is n't confined to Chevron .	neutral	none										
bac06_gil_s24_c03	Still , Bank of America is looking to see	positive	none		y		y						
nem05_gil_s01_c00	Gold geeks to wait for Newmont Mining Corp	positive	none		y								
duk07_gil_s17_c02	shares fell to 8.1 million by December 29 , 2017	positive	negative				y		y				
duk07_gil_s12_c00	The price level of ~ $ 85.5 could act as a resistance for Duke stock going forward .	negative	positive			y							
aapl15_gil_s46_c02	the shift toward autonomous cars will be fairly backloaded , hitting critical mass in the 2030s - - likely too $ 2 trillion valuation	positive	negative	y		y	y						
cvx04_gil_s13_c00	Given this chart and analysis , my strategy is to buy oil on weakness to my monthly value level of $ 61.69 and to reduce holdings on strength to my weekly risky level of $ 67.60 .	negative	neutral			y					y	y	
cvx06_gil_s10_c00	In 4Q17 , CVX ' s total	positive	none						y				
cvx05_gil_s14_c01	a better price environment encourages oil and gas companies to get back to work Chevron drilled	positive	none		y								
cvx04_gil_s04_c01	As ` ` Dogs of the Dow , ' ' the strategy to buy weakness on brand-name dividend stocks is	positive	neutral				y		y			y	
wmt05_gil_s11_c00	it could reach the 200 - day moving average at around $ 86.21 or reaction lows at around $ 77.50	negative	neutral			y	y						
cvx04_gil_s22_c00	Given this chart and analysis , my strategy is to buy Exxon Mobil shares on weakness to my semiannual value level of $ 73.53 and to reduce holdings on strength to my quarterly and annual risky levels of $ 92.47 and $ 103.71 , respectively .	positive	neutral				y					y	
cvx05_gil_s23_c01	Still , - - came from its unconventional operations in the U.S . , mainly in the Permian basin	neutral	none		y	y							
bac06_gil_s23_c00	 charges as a one-time  ence that is n't indicative of broader underwritin	positive	none		y				y				
jnj04_gil_s11_c03	organic sales growth projections for this year , based on management ' s comments , based on management ' s comments	negative	neutral				y		y				
cvx04_gil_s16_c00	The weekly chart for Chevron is the ` ` reversion to the mean , ' ' last tested during the week of Aug . 25 ,	negative	none					y					
bac04_gil_s37_c00	The lender ' s improving fortunes recently improving fortunes	negative	positive	y			y		y				
ba14_gil_s17_c00	the Canadian company used low prices to unfairly compete for a Delta Air Lines Inc	negative	neutral				y			y		y	
f14_gil_s14_c03	` We , tend to move in opposite directions	neutral	none		y								
f14_gil_s30_c00	Ford earns $ 1.45 in 2018	negative	positive			y							
f14_gil_s30_c02	they trade today	none	neutral										
f13_gil_s18_c00	Fiat Chrysler Automobiles NV has already blazed the trail with SRT and R / T editions of its Dodge Durango large SUV and a Jeep Grand Cherokee	positive	none		y								
amzn12_gil_s35_c01	, , ' said did decide to move into pharmacy	positive	none					y					
amzn12_gil_s29_c00	Correspondence between two state pharmacy boards and Amazon showed that those state licenses could only be used for medical device and supplies d	neutral	none		y								
f13_gil_s16_c03	People are running away from cars d they ' re runn	negative	none						y				
jnj06_gil_s13_c01	We estimate a price-earnings multiple of around 19 for J & J , which is below many pharma industry multiples , reflecting the risk of biosimilars	negative	neutral		y			y					
f15_gil_s39_c02	 Getting together with Alibaba	positive	none										
cvx06_gil_s16_c00	EBITDA ratio fell from 2.6 x in 4Q16 to 1.3 x in 4Q17	positive	negative			y	y						
nem05_gil_s10_c01	Newmont is pursuing greenfield exploration around the world	positive	none										
f14_gil_s16_c00	we is those natural hedges have seen in more recent [ ph ]	positive	none										
bac04_gil_s36_c00	that was less than the bank initially predicted	positive	none										
bac04_gil_s05_c00	The Charlotte , N.C . - based bank on Wednesday reported fourth-quarter profit of $ 2.37 billion , or 20 cents a share .	neutral	positive										
aapl15_gil_s38_c01	Apple pays ju	positive	neutral										
bac04_gil_s28_c00	The rate the bank interest-bearing deposits was 0.27 % , compared with 0.24 % in the prior quarter	negative	none										
amzn12_gil_s34_c01	, , company did not list any pharmacy-related jobs , Hynes said did not list any pharmacy-related jobs	neutral	none										
jnj05_gil_s19_c00	generic competition facing J & J ' s blockbuster cancer therapy Zytiga after a court ruling last week	negative	neutral										
wmt07_gil_s05_c02	they ' 25 % of consumers ve purchased a meal kit in the last six months	positive	none										
cvx05_gil_s00_c00	Chevron ' s 10 - K Puts the Permian on a Pedestal	positive	none										
f14_gil_s14_c05	our analysis had indicated	positive	none										
ba14_gil_s12_c03	The American depositary receipts heading into Friday	negative	none										
cvx05_gil_s12_c01	Chevron can thank OPEC , the Russians and a handful of other countries cutting supply and thereby pushing average benchmark	positive	none										
aapl15_gil_s41_c02	the car market will see more change in the next 20 years than in the last 50	positive	none										
f14_gil_s31_c00	Ford would be ` ` the worst stock of the year ' ' in 2015 and 2016	none	negative										
ba14_gil_s02_c02	a company that dubbed a similar combination able deal ' ' that would n't force it to change	negative	none										
f14_gil_s15_c00	So we actually do n't hedge as much on currencies or commodities as a result .	negative	none										
jnj04_gil_s08_c02	some investors were expecting	negative	none										
f13_gil_s15_c00	Analysts subcompact EcoSport speculate the compact Escape	positive	none										
ba15_gil_s00_c00	Should Boeing Buy GE Aviation ?	positive	none										
f14_gil_s21_c00	Ford to be years behind its competition	neutral	negative										
f14_gil_s20_c00	Based on the Deutsche Bank presentation ( available here ) , Ford has not yet flushed out its strategy for AVs and BEVs .	positive	none										
duk07_gil_s16_c00	Short interest in Duke Energy stock fell 6 % on December 29 , 2017 , according to a recent report .	positive	negative										
wmt07_gil_s09_c01	Scrambling to find a meal ` ` ' ' puts pressure on a family	none	negative										
wmt07_gil_s03_c03	Walmart was looking to acquire	positive	neutral										
f15_gil_s07_c00	The first , wei , means danger .	negative	none										
f13_gil_s25_c01	Ford decided to ditch the SUV	positive	none										
amzn12_gil_s14_c01	his industry was ` ` highly regulated ,	negative	none										
f13_gil_s28_c00	The SUV ' s designer is not worried about turning off traditional buyers with the racing touches .	positive	negative										
nem06_gil_s17_c01	investors should buy Newmont Mining shares	neutral	positive										
aapl14_gil_s07_c01	Apple will continue to prize profit margins over unit sales and market share	positive	neutral										
jnj04_gil_s11_c05	the momentum seen in the fourth quarter would n't continue at the same pace	negative	positive										
wmt07_gil_s13_c01	In 2005 ` ` meal assembly stores ' ' according to the now defunct Easy Meal Preparation Association there were over 1,400 of these stores throughout the US	neutral	none										
bac05_gil_s08_c01	` , ' executives to close GBTC to new purchases	negative	positive										
f14_gil_s33_c01	You may want to hedge a Ford short with a long GM position	neutral	none										
nem04_gil_s04_c01	The stock does n't have any ` ' ratings	positive	none										
bac06_gil_s30_c01	 was until recent days a long , low-volatility stock	positive	none										
bac06_gil_s29_c00	In essence , Mr . Wiese borrowed against his Steinhoff shares to buy more Steinhoff shares .	neutral	negative										
f13_gil_s36_c00	The Edge Sport starts at $ 40,675	neutral	positive										
aapl14_gil_s02_c00	a future will see market share falling , even as Apple maintains its profit margin	positive	negative										
nem04_gil_s03_c02	39 % of the analysts have given it ` ' ratings	positive	none										
bac05_gil_s07_c01	the initial futures contracts began trading on Dec . 10	none	neutral										
f13_gil_s26_c03	` We , a fair portion of those , but this really , ' Nair said takes that to another level	positive	none										
bac04_gil_s16_c00	The bank down from an expected 29 % before the new tax law , Chief Financial Officer Paul Donofrio expects its effective tax rate for 2018 to be 20 %	positive	neutral										
bac06_gil_s09_c00	It ' ' a bank spokesman s the responsible thing for a financial institution to do	positive	none										
ba15_gil_s10_c00	GE , the worst-performing stock in the Dow last year , certainly and ' believes	neutral	negative										
aapl16_gil_s26_c00	For calendar 2016 $ 8.8 billion in revenue was about 4 % of	positive	neutral										
wmt06_gil_s14_c03	The consumer sector and has become	positive	none										
aapl15_gil_s46_c01	late to drive the climb toward Apple ' s	none	positive										
wmt07_gil_s05_c00	they ' 25 % of consumers say	none	positive										
wmt07_gil_s02_c02	Currently Walmart offers the kits , , in more than 250 stores	neutral	none										
f14_gil_s23_c01	the only hope remaining for Ford shareholders is yield support from the company ' s dividend	negative	positive										
cvx04_gil_s17_c00	The 12 x 3 x 3 weekly slow stochastic reading falling below the overbought threshold of 80.00	positive	negative										
cvx04_gil_s10_c00	The weekly chart for crude oil is positive but overbought , with oil above its five-week modified moving average of $ 62.67 .	positive	negative										
nem04_gil_s02_c01	` ' buy	positive	none										
nem05_gil_s00_c00	Newmont-Barrick Race for Top Gold Crown Comes Down to a Decimal	positive	neutral										
aapl14_gil_s06_c01	Apple could have sold	negative	positive										
wmt05_gil_s12_c01	50 - day moving average at around $ 100.00 on the upside	positive	none										
nem06_gil_s15_c00	$ 29.06 is also the ` ` reversion to the mean , ' ' last tested during the week of April 15 , 2016 ,	negative	none										
amzn14_gil_s04_c01	Tens of millions of Alexa-enabled devices - - the company were sold on Amazon overall	positive	none										
bac04_gil_s34_c02	JPMorgan Chase d Citigroup Inc . both took si	negative	none										
cvx06_gil_s07_c00	Chevron ' s net debt-to-adjusted	positive	neutral										
f15_gil_s51_c00	Ford to be a fundamentally different company in China	none	positive										
ba14_gil_s28_c00	Perhaps that should include re-evaluating the price .	neutral	none										
f13_gil_s25_c00	Ford decided s relatively tame Sport editi	positive	none										
wmt07_gil_s05_c03	they would consider trying a meal kit in the next six months	positive	none										
nem06_gil_s03_c01	Investors and should have 10 % of their portfolio invested in gold-related choices	positive	none										
f15_gil_s53_c00	Within a crisis reside the seeds of opportunity .	neutral	positive										
duk07_gil_s19_c00	Short interest represents the total number of a company ' s shares	none	negative										
nem05_gil_s03_c00	that ' s enough for it to squeak ahead of Barrick	neutral	positive										
cvx05_gil_s02_c00	Chevron Corp . is not shy about touting its 1.7 million acres of real estate in the prolific Permian basin , the center of the U.S . tight-oil boom .	positive	none										
bac05_gil_s06_c00	brokerages that have held off on offering the futures introduced last month by Cboe Global Markets Inc . and CME Group Inc	negative	neutral										
duk06_gil_s04_c01	the stocks of most utility giants , such as NextEra Energy NEE , Southern Company SO , and Dominion Energy D , are currently trading in the oversold zone	positive	negative										
amzn12_gil_s03_c00	that the massive online retailer had observers all aflutter was mulling a pharmaceutical-industry entry	positive	none										
cvx05_gil_s23_c02	we know from its announcement earlier this month	neutral	none										
ba14_gil_s16_c02	Boeing is still negotiating	neutral	none										
f14_gil_s25_c01	That said , remember	positive	none										
aapl16_gil_s04_c00	-LRB- -RRB- have sold Put options	positive	none										
bac06_gil_s04_c01	Bank of America the people said	negative	none										
wmt06_gil_s18_c01	Last week , Wal-Mart said	positive	none										
aapl16_gil_s12_c00	January 1st was the largest day	positive	none										
amzn12_gil_s34_c02	, , company did not list any pharmacy-related jobs , Hynes said said	neutral	none										
cvx06_gil_s22_c00	CVX ' s adjusted	positive	none										
wmt07_gil_s13_c00	In 2005 ` ` meal assembly stores ' ' according to the now defunct Easy Meal Preparation Association there were all the rage	positive	none										
jnj04_gil_s07_c01	higher research-and-development spending was offset by a lower tax rate	neutral	positive										
wmt05_gil_s04_c01	the company ' s e-commerce growth came in at just 23 %	negative	positive										
amzn13_gil_s11_c00	v ) AMZN Advertising while still nascent offers a dual value prop	positive	neutral										
aapl15_gil_s07_c03	you can keep the case for $ 2 trillion simpler Apple has	none	positive										
duk07_gil_s10_c00	On January 18 Duke Energy stock was trading	negative	neutral										
bac06_gil_s23_c02	The losses hit banks so quickly	positive	negative										
cvx06_gil_s10_c01	debt-to-total capital ratio stood at 21 % , again below the industry average of 36 %	positive	neutral										
f15_gil_s37_c00	In December Chairman Bill Ford and CEO Jim Hackett traveled to the headquart	positive	none										
duk07_gil_s15_c00	Short interest	none	negative										
f14_gil_s11_c02	earnings call	negative	none										
bac04_gil_s12_c01	the one-time hit from the tax bill is expected to be outweighed by the law ' s longer-term benefits	negative	positive										
bac04_gil_s28_c01	The rate the bank interest-bearing deposits paid on U.S	negative	none										
bac06_gil_s03_c00	The losses the people said	negative	none										
aapl15_gil_s47_c01	you like the iPhone business	neutral	none										
f14_gil_s16_c03	 are not working	positive	negative										
bac04_gil_s10_c00	That roughly matched	positive	none										
aapl15_gil_s49_c00	a tax bill passes	positive	negative										
f14_gil_s26_c00	Even now , with a current yield of 3 % GE is still yielding more than full percentage point more than the S & P 500 .	positive	neutral										
jnj05_gil_s02_c01	Johnson & Johnson to deliver the goods	positive	none										
amzn12_gil_s07_c00	The move could also have wider implications for consumers .	neutral	none										
nem05_gil_s09_c01	All of this may have helped , widening the value gap between the two companies	neutral	negative										
f13_gil_s14_c02	The Edge Nair will be just the first in a series of hot rod	none	positive										
f13_gil_s06_c00	Jonathan Crocker told reporters ahead of the reveal	positive	none										
bac06_gil_s12_c01	the actual people were involved in it	positive	none										
wmt05_gil_s10_c01	Traders should watch for some consolidation above trendline support levels after closing the gap	positive	neutral										
