lex-uncased	negative	positive	uncertainty	litigious	constraining	interesting	modal
anticipates	0	0	1	0	0	0	0
anticipating	0	0	1	0	0	0	0
anticipation	0	0	1	0	0	0	0
anticipations	0	0	1	0	0	0	0
anticompetitive	1	0	0	0	0	0	0
anticorruption	0	0	0	1	0	0	0
antitrust	1	0	0	1	0	0	0
anywise	0	0	0	1	0	0	0
apparent	0	0	1	0	0	0	0
apparently	0	0	1	0	0	0	1
appeal	0	0	0	1	0	0	0
appealable	0	0	0	1	0	0	0
appealed	0	0	0	1	0	0	0
appealing	0	0	0	1	0	0	0
appeals	0	0	0	1	0	0	0
appear	0	0	1	0	0	0	0
appeared	0	0	1	0	0	0	1
appearing	0	0	1	0	0	0	1
appears	0	0	1	0	0	0	1
appellant	0	0	0	1	0	0	0
appellants	0	0	0	1	0	0	0
appellate	0	0	0	1	0	0	0
appellees	0	0	0	1	0	0	0
appointor	0	0	0	1	0	0	0
approximate	0	0	1	0	0	0	0
approximated	0	0	1	0	0	0	0
approximately	0	0	1	0	0	0	0
approximates	0	0	1	0	0	0	0
approximating	0	0	1	0	0	0	0
approximation	0	0	1	0	0	0	0
approximations	0	0	1	0	0	0	0
appurtenance	0	0	0	1	0	0	0
appurtenances	0	0	0	1	0	0	0
appurtenant	0	0	0	1	0	0	0
arbitrability	0	0	0	1	0	0	0
arbitral	0	0	0	1	0	0	0
arbitrarily	0	0	1	0	0	0	0
arbitrariness	0	0	1	0	0	0	0
arbitrary	0	0	1	0	0	0	0
arbitrate	0	0	0	1	0	0	0
arbitrated	0	0	0	1	0	0	0
arbitrates	0	0	0	1	0	0	0
arbitrating	0	0	0	1	0	0	0
arbitration	0	0	0	1	0	0	0
arbitrational	0	0	0	1	0	0	0
arbitrations	0	0	0	1	0	0	0
arbitrative	0	0	0	1	0	0	0
arbitrator	0	0	0	1	0	0	0
arbitrators	0	0	0	1	0	0	0
argue	1	0	0	0	0	0	0
argued	1	0	0	0	0	0	0
arguing	1	0	0	0	0	0	0
argument	1	0	0	0	0	0	0
argumentative	1	0	0	0	0	0	0
arguments	1	0	0	0	0	0	0
arrearage	1	0	0	1	0	0	0
arrearages	1	0	0	1	0	0	0
arrears	1	0	0	0	0	0	0
arrest	1	0	0	0	0	0	0
arrested	1	0	0	0	0	0	0
arrests	1	0	0	0	0	0	0
artificially	1	0	0	0	0	0	0
asbestos	0	0	0	0	0	1	0
ascendancy	0	0	0	1	0	0	0
ascendant	0	0	0	1	0	0	0
ascendants	0	0	0	1	0	0	0
assault	1	0	0	0	0	0	0
assaulted	1	0	0	0	0	0	0
assaulting	1	0	0	0	0	0	0
assaults	1	0	0	0	0	0	0
assertable	0	0	0	1	0	0	0
assertions	1	0	0	0	0	0	0
assignation	0	0	0	1	0	0	0
assignations	0	0	0	1	0	0	0
assumable	0	0	0	1	0	0	0
assume	0	0	1	0	0	0	0
assumed	0	0	1	0	0	0	0
assumes	0	0	1	0	0	0	0
assuming	0	0	1	0	0	0	0
assumption	0	0	1	0	0	0	0
assumptions	0	0	1	0	0	0	0
assure	0	1	0	0	0	0	0
assured	0	1	0	0	0	0	0
assures	0	1	0	0	0	0	0
assuring	0	1	0	0	0	0	0
attain	0	1	0	0	0	0	0
attained	0	1	0	0	0	0	0
attaining	0	1	0	0	0	0	0
attainment	0	1	0	0	0	0	0
attainments	0	1	0	0	0	0	0
attains	0	1	0	0	0	0	0
attest	0	0	0	1	0	0	0
attestation	0	0	0	1	0	0	0
attestations	0	0	0	1	0	0	0
attested	0	0	0	1	0	0	0
attesting	0	0	0	1	0	0	0
attorn	0	0	0	1	0	0	0
attorney	0	0	0	1	0	0	0
attorneys	0	0	0	1	0	0	0
attornment	0	0	0	1	0	0	0
attorns	0	0	0	1	0	0	0
attractive	0	1	0	0	0	0	0
attractiveness	0	1	0	0	0	0	0
attrition	1	0	0	0	0	0	0
august	0	0	0	0	0	1	0
aversely	1	0	0	0	0	0	0
backdating	1	0	0	0	0	0	0
bad	1	0	0	0	0	0	0
bail	1	0	0	1	0	0	0
bailed	0	0	0	1	0	0	0
bailee	0	0	0	1	0	0	0
bailees	0	0	0	1	0	0	0
bailiff	0	0	0	1	0	0	0
bailiffs	0	0	0	1	0	0	0
bailment	0	0	0	1	0	0	0
bailout	1	0	0	0	0	0	0
balk	1	0	0	0	0	0	0
balked	1	0	0	0	0	0	0
ban	0	0	0	0	0	1	0
bankrupt	1	0	0	0	0	0	0
bankruptcies	1	0	0	0	0	0	0
bankruptcy	1	0	0	0	0	0	0
bankrupted	1	0	0	0	0	0	0
bankrupting	1	0	0	0	0	0	0
bankrupts	1	0	0	0	0	0	0
bans	1	0	0	0	0	0	0
barred	1	0	0	0	0	0	0
barrier	1	0	0	0	0	0	0
barriers	1	0	0	0	0	0	0
beautiful	0	1	0	0	0	0	0
beautifully	0	1	0	0	0	0	0
believe	0	0	1	0	0	0	0
believed	0	0	1	0	0	0	0
believes	0	0	1	0	0	0	0
believing	0	0	1	0	0	0	0
beneficial	0	1	0	0	0	0	0
beneficially	0	1	0	0	0	0	0
beneficiated	0	0	0	1	0	0	0
beneficiation	0	0	0	1	0	0	0
benefit	0	1	0	0	0	0	0
benefited	0	1	0	0	0	0	0
benefiting	0	1	0	0	0	0	0
benefitted	0	1	0	0	0	0	0
benefitting	0	1	0	0	0	0	0
best	0	1	0	0	0	0	1
better	0	1	0	0	0	0	0
bioterrorism	0	0	0	0	0	1	0
bolstered	0	1	0	0	0	0	0
bolstering	0	1	0	0	0	0	0
bolsters	0	1	0	0	0	0	0
bona	0	0	0	1	0	0	0
bonafide	0	0	0	1	0	0	0
boom	0	1	0	0	0	0	0
booming	0	1	0	0	0	0	0
boost	0	1	0	0	0	0	0
boosted	0	1	0	0	0	0	0
bottleneck	1	0	0	0	0	0	0
bottlenecks	1	0	0	0	0	0	0
bound	0	0	0	0	1	0	0
bounded	0	0	0	0	1	0	0
boycott	1	0	0	0	0	0	0
boycotted	1	0	0	0	0	0	0
boycotting	1	0	0	0	0	0	0
boycotts	1	0	0	0	0	0	0
breach	1	0	0	1	0	0	0
breached	1	0	0	1	0	0	0
breaches	1	0	0	1	0	0	0
breaching	1	0	0	1	0	0	0
break	1	0	0	0	0	0	0
breakage	1	0	0	0	0	0	0
breakages	1	0	0	0	0	0	0
breakdown	1	0	0	0	0	0	0
breakdowns	1	0	0	0	0	0	0
breaking	1	0	0	0	0	0	0
breaks	1	0	0	0	0	0	0
breakthrough	0	1	0	0	0	0	0
breakthroughs	0	1	0	0	0	0	0
bribe	1	0	0	0	0	0	0
bribed	1	0	0	0	0	0	0
briberies	1	0	0	0	0	0	0
bribery	1	0	0	0	0	0	0
bribes	1	0	0	0	0	0	0
bribing	1	0	0	0	0	0	0
bridge	1	0	0	0	0	1	0
brilliant	0	1	0	0	0	0	0
broken	1	0	0	0	0	0	0
burden	1	0	0	0	0	0	0
burdened	1	0	0	0	0	0	0
burdening	1	0	0	0	0	0	0
burdens	1	0	0	0	0	0	0
burdensome	1	0	0	0	0	0	0
burned	1	0	0	0	0	0	0
calamities	1	0	0	0	0	0	0
calamitous	1	0	0	0	0	0	0
calamity	1	0	0	0	0	0	0
can	0	0	0	0	0	0	1
cancel	1	0	0	0	0	0	0
canceled	1	0	0	0	0	0	0
canceling	1	0	0	0	0	0	0
cancellation	1	0	0	0	0	0	0
cancellations	1	0	0	0	0	0	0
cancelled	1	0	0	0	0	0	0
cancelling	1	0	0	0	0	0	0
cancels	1	0	0	0	0	0	0
cancer	0	0	0	0	0	1	0
careless	1	0	0	0	0	0	0
carelessly	1	0	0	0	0	0	0
carelessness	1	0	0	0	0	0	0
catastrophe	1	0	0	0	0	0	0
catastrophes	1	0	0	0	0	0	0
catastrophic	1	0	0	0	0	0	0
catastrophically	1	0	0	0	0	0	0
caution	1	0	0	0	0	0	0
cautionary	1	0	0	0	0	0	0
cautioned	1	0	0	0	0	0	0
cautioning	1	0	0	0	0	0	0
cautions	1	0	0	0	0	0	0
cautious	0	0	1	0	0	0	0
cautiously	0	0	1	0	0	0	0
cautiousness	0	0	1	0	0	0	0
cease	1	0	0	0	0	0	0
ceased	1	0	0	0	0	0	0
ceases	1	0	0	0	0	0	0
ceasing	1	0	0	0	0	0	0
cedant	0	0	0	1	0	0	0
cedants	0	0	0	1	0	0	0
censure	1	0	0	0	0	0	0
censured	1	0	0	0	0	0	0
censures	1	0	0	0	0	0	0
censuring	1	0	0	0	0	0	0
certiorari	0	0	0	1	0	0	0
cession	0	0	0	1	0	0	0
challenge	1	0	0	0	0	0	0
challenged	1	0	0	0	0	0	0
challenges	1	0	0	0	0	0	0
challenging	1	0	0	0	0	0	0
chapter	0	0	0	0	0	1	0
chargeoffs	1	0	0	0	0	0	0
charitable	0	1	0	0	0	0	0
chattel	0	0	0	1	0	0	0
chattels	0	0	0	1	0	0	0
choate	0	0	0	1	0	0	0
circumvent	1	0	0	0	0	0	0
circumvented	1	0	0	0	0	0	0
circumventing	1	0	0	0	0	0	0
circumvention	1	0	0	0	0	0	0
circumventions	1	0	0	0	0	0	0
circumvents	1	0	0	0	0	0	0
claim	0	0	0	1	0	0	0
claimable	0	0	0	1	0	0	0
claimant	0	0	0	1	0	0	0
claimants	0	0	0	1	0	0	0
claimholder	0	0	0	1	0	0	0
claiming	1	0	0	0	0	0	0
claims	1	0	0	1	0	0	0
clarification	0	0	1	0	0	0	0
clarifications	0	0	1	0	0	0	0
clawback	1	0	0	0	0	0	0
clawbacks	0	0	0	1	0	0	0
clearly	0	0	0	0	0	0	1
closed	1	0	0	0	0	0	0
closeout	1	0	0	0	0	0	0
closeouts	1	0	0	0	0	0	0
closing	1	0	0	0	0	0	0
closings	1	0	0	0	0	0	0
closure	1	0	0	0	0	0	0
closures	1	0	0	0	0	0	0
codefendant	0	0	0	1	0	0	0
codefendants	0	0	0	1	0	0	0
codicil	0	0	0	1	0	0	0
codicils	0	0	0	1	0	0	0
codification	0	0	0	1	0	0	0
codifications	0	0	0	1	0	0	0
codified	0	0	0	1	0	0	0
codifies	0	0	0	1	0	0	0
codify	0	0	0	1	0	0	0
codifying	0	0	0	1	0	0	0
coerce	1	0	0	0	0	0	0
coerced	1	0	0	0	0	0	0
coerces	1	0	0	0	0	0	0
coercing	1	0	0	0	0	0	0
coercion	1	0	0	0	0	0	0
coercive	1	0	0	0	0	0	0
collaborate	0	1	0	0	0	0	0
collaborated	0	1	0	0	0	0	0
collaborates	0	1	0	0	0	0	0
collaborating	0	1	0	0	0	0	0
collaboration	0	1	0	0	0	0	0
collaborations	0	1	0	0	0	0	0
collaborative	0	1	0	0	0	0	0
collaborator	0	1	0	0	0	0	0
collaborators	0	1	0	0	0	0	0
collapse	1	0	0	0	0	0	0
collapsed	1	0	0	0	0	0	0
collapses	1	0	0	0	0	0	0
collapsing	1	0	0	0	0	0	0
collision	1	0	0	0	0	0	0
collisions	1	0	0	0	0	0	0
collude	1	0	0	0	0	0	0
colluded	1	0	0	0	0	0	0
colludes	1	0	0	0	0	0	0
colluding	1	0	0	0	0	0	0
collusion	1	0	0	1	0	0	0
collusions	1	0	0	0	0	0	0
collusive	1	0	0	0	0	0	0
commit	0	0	0	0	1	0	0
commitment	0	0	0	0	1	0	0
commitments	0	0	0	0	1	0	0
commits	0	0	0	0	1	0	0
committed	0	0	0	0	1	0	0
committing	0	0	0	0	1	0	0
compel	0	0	0	0	1	0	0
compelled	0	0	0	0	1	0	0
compelling	0	0	0	0	1	0	0
compels	0	0	0	0	1	0	0
compensatory	0	0	0	1	0	0	0
complain	1	0	0	0	0	0	0
complainant	0	0	0	1	0	0	0
complainants	0	0	0	1	0	0	0
complained	1	0	0	0	0	0	0
complaining	1	0	0	0	0	0	0
complains	1	0	0	0	0	0	0
complaint	1	0	0	0	0	0	0
complaints	1	0	0	0	0	0	0
complicate	1	0	0	0	0	0	0
complicated	1	0	0	0	0	0	0
complicates	1	0	0	0	0	0	0
complicating	1	0	0	0	0	0	0
complication	1	0	0	0	0	0	0
complications	1	0	0	0	0	0	0
compliment	0	1	0	0	0	0	0
complimentary	0	1	0	0	0	0	0
complimented	0	1	0	0	0	0	0
complimenting	0	1	0	0	0	0	0
compliments	0	1	0	0	0	0	0
comply	0	0	0	0	1	0	0
compulsion	1	0	0	0	1	0	0
compulsory	0	0	0	0	1	0	0
concealed	1	0	0	0	0	0	0
concealing	1	0	0	0	0	0	0
concede	1	0	0	0	0	0	0
conceded	1	0	0	0	0	0	0
concedes	1	0	0	0	0	0	0
conceding	1	0	0	0	0	0	0
conceivable	0	0	1	0	0	0	1
conceivably	0	0	1	0	0	0	0
concern	1	0	0	0	0	0	0
concerned	1	0	0	0	0	0	0
concerning	0	0	0	0	0	1	0
concerns	1	0	0	0	0	0	0
conciliating	1	0	0	0	0	0	0
conciliation	1	0	0	0	0	0	0
conciliations	1	0	0	0	0	0	0
conclusive	0	1	0	0	0	0	0
conclusively	0	1	0	0	0	0	0
condemn	1	0	0	0	0	0	0
condemnation	1	0	0	0	0	0	0
condemnations	1	0	0	0	0	0	0
condemned	1	0	0	0	0	0	0
condemning	1	0	0	0	0	0	0
condemnor	0	0	0	1	0	0	0
condemns	1	0	0	0	0	0	0
conditional	0	0	1	0	0	0	0
conditionally	0	0	1	0	0	0	0
condone	1	0	0	0	0	0	0
condoned	1	0	0	0	0	0	0
conducive	0	1	0	0	0	0	0
confess	1	0	0	0	0	0	0
confessed	1	0	0	0	0	0	0
confesses	1	0	0	0	0	0	0
confessing	1	0	0	0	0	0	0
confession	1	0	0	0	0	0	0
confident	0	1	0	0	0	0	0
confine	1	0	0	0	1	0	0
confined	1	0	0	0	1	0	0
confinement	1	0	0	0	1	0	0
confinements	1	0	0	0	0	0	0
confines	1	0	0	0	1	0	0
confining	1	0	0	0	1	0	0
confiscate	1	0	0	0	0	0	0
confiscated	1	0	0	0	0	0	0
confiscates	1	0	0	0	0	0	0
confiscating	1	0	0	0	0	0	0
confiscation	1	0	0	0	0	0	0
confiscations	1	0	0	0	0	0	0
confiscatory	0	0	0	1	0	0	0
conflict	1	0	0	0	0	0	0
conflicted	1	0	0	0	0	0	0
conflicting	1	0	0	0	0	0	0
conflicts	1	0	0	0	0	0	0
confront	1	0	0	0	0	0	0
confrontation	1	0	0	0	0	0	0
confrontational	1	0	0	0	0	0	0
confrontations	1	0	0	0	0	0	0
confronted	1	0	0	0	0	0	0
confronting	1	0	0	0	0	0	0
confronts	1	0	0	0	0	0	0
confuse	1	0	0	0	0	0	0
confused	1	0	0	0	0	0	0
confuses	1	0	1	0	0	0	0
confusing	1	0	1	0	0	0	0
confusingly	1	0	1	0	0	0	0
confusion	1	0	1	0	0	0	0
consent	0	0	0	1	0	0	0
consented	0	0	0	1	0	0	0
consenting	0	0	0	1	0	0	0
consents	0	0	0	1	0	0	0
conservatorships	0	0	0	1	0	0	0
conspiracies	1	0	0	0	0	0	0
conspiracy	1	0	0	0	0	0	0
conspirator	1	0	0	0	0	0	0
conspiratorial	1	0	0	0	0	0	0
conspirators	1	0	0	0	0	0	0
conspire	1	0	0	0	0	0	0
conspired	1	0	0	0	0	0	0
conspires	1	0	0	0	0	0	0
conspiring	1	0	0	0	0	0	0
constitution	0	0	0	1	0	0	0
constitutional	0	0	0	1	0	0	0
constitutionality	0	0	0	1	0	0	0
constitutionally	0	0	0	1	0	0	0
constitutions	0	0	0	1	0	0	0
constitutive	0	0	0	1	0	0	0
constrain	0	0	0	0	1	0	0
constrained	0	0	0	0	1	0	0
constraining	0	0	0	0	1	0	0
constrains	0	0	0	0	1	0	0
constraint	0	0	0	0	1	0	0
constraints	0	0	0	0	1	0	0
constructive	0	1	0	0	0	0	0
constructively	0	1	0	0	0	0	0
construe	0	0	0	1	0	0	0
construed	0	0	0	1	0	0	0
construes	0	0	0	1	0	0	0
construing	0	0	0	1	0	0	0
contaminated	0	0	0	0	0	1	0
contempt	1	0	0	0	0	0	0
contend	1	0	0	0	0	0	0
contended	1	0	0	0	0	0	0
contending	1	0	0	0	0	0	0
contends	1	0	0	0	0	0	0
contention	1	0	0	0	0	0	0
contentions	1	0	0	0	0	0	0
contentious	1	0	0	0	0	0	0
contentiously	1	0	0	0	0	0	0
contestability	0	0	0	1	0	0	0
contestation	0	0	0	1	0	0	0
contested	1	0	0	0	0	0	0
contesting	1	0	0	0	0	0	0
contests	0	0	0	0	0	1	0
contingencies	0	0	1	0	0	0	0
contingency	0	0	1	0	0	0	0
contingent	0	0	1	0	0	0	0
contingently	0	0	1	0	0	0	0
contingents	0	0	1	0	0	0	0
contract	0	0	0	1	0	0	0
contracted	0	0	0	1	0	0	0
contractholder	0	0	0	1	0	0	0
contractholders	0	0	0	1	0	0	0
contractible	0	0	0	1	0	0	0
contractile	0	0	0	1	0	0	0
contracting	0	0	0	1	0	0	0
contraction	1	0	0	0	0	0	0
contractions	1	0	0	0	0	0	0
contracts	0	0	0	1	0	0	0
contractual	0	0	0	1	0	0	0
contractually	0	0	0	1	0	0	0
contradict	1	0	0	0	0	0	0
contradicted	1	0	0	0	0	0	0
contradicting	1	0	0	0	0	0	0
contradiction	1	0	0	0	0	0	0
contradictions	1	0	0	0	0	0	0
contradictory	1	0	0	0	0	0	0
contradicts	1	0	0	0	0	0	0
contrary	1	0	0	0	0	0	0
contravene	0	0	0	1	0	0	0
contravened	0	0	0	1	0	0	0
contravenes	0	0	0	1	0	0	0
contravening	0	0	0	1	0	0	0
contravention	0	0	0	1	0	0	0
contraventions	0	0	0	1	0	0	0
controversial	1	0	0	0	0	0	0
controversies	1	0	0	0	0	0	0
controversy	1	0	0	0	0	0	0
controvert	0	0	0	1	0	0	0
controverted	0	0	0	1	0	0	0
controverting	0	0	0	1	0	0	0
conveniens	0	0	0	1	0	0	0
conveyance	0	0	0	1	0	0	0
conveyances	0	0	0	1	0	0	0
convict	1	0	0	1	0	0	0
convicted	1	0	0	1	0	0	0
convicting	1	0	0	1	0	0	0
conviction	1	0	0	1	0	0	0
convictions	1	0	0	1	0	0	0
cooperated	0	0	0	0	0	1	0
corrected	1	0	0	0	0	0	0
correcting	1	0	0	0	0	0	0
correction	1	0	0	0	0	0	0
corrections	1	0	0	0	0	0	0
corrects	1	0	0	0	0	0	0
corrupt	1	0	0	0	0	0	0
corrupted	1	0	0	0	0	0	0
corrupting	1	0	0	0	0	0	0
corruption	1	0	0	0	0	0	0
corruptions	1	0	0	0	0	0	0
corruptly	1	0	0	0	0	0	0
corruptness	1	0	0	0	0	0	0
costly	1	0	0	0	0	0	0
coterminous	0	0	0	1	0	0	0
could	0	0	1	0	0	0	1
counsel	0	0	0	1	0	0	0
counseled	0	0	0	1	0	0	0
counselled	0	0	0	1	0	0	0
counsels	0	0	0	1	0	0	0
counterclaim	1	0	0	0	0	0	0
counterclaimed	1	0	0	0	0	0	0
counterclaiming	1	0	0	0	0	0	0
counterclaims	1	0	0	0	0	0	0
counterfeit	1	0	0	0	0	0	0
counterfeited	1	0	0	0	0	0	0
counterfeiter	1	0	0	0	0	0	0
counterfeiters	1	0	0	0	0	0	0
counterfeiting	1	0	0	0	0	0	0
counterfeits	1	0	0	0	0	0	0
countermeasure	1	0	0	0	0	0	0
countermeasures	1	0	0	0	0	0	0
countersignor	0	0	0	1	0	0	0
countersued	0	0	0	1	0	0	0
countersuit	0	0	0	1	0	0	0
countersuits	0	0	0	1	0	0	0
court	0	0	0	1	0	0	0
courteous	0	1	0	0	0	0	0
courtroom	0	0	0	1	0	0	0
courts	0	0	0	1	0	0	0
covenant	0	0	0	0	1	0	0
covenanted	0	0	0	0	1	0	0
covenanting	0	0	0	0	1	0	0
covenants	0	0	0	0	1	0	0
creative	0	1	0	0	0	0	0
creatively	0	1	0	0	0	0	0
creativeness	0	1	0	0	0	0	0
creativity	0	1	0	0	0	0	0
